Line,State,Line-id,line-plant,Donor,Pop,Donor_CIMMYT_ID,Donor_ID,Donor_Accession,Donor_Race,Donor_Lat,Donor_Lon,Donor_Ele,F1,BC1 (683),BC1_ALTERNATIVE,BC1S1 (650),BC1S2 (599),BC1S3 (452),BC1 S4 (414),BC1 S4 BULK1 (225),Bulk1 Weight (gr),BC1 S4 BULK2 ,Bulk2 Weight (gr),TC-T6,TC-Weight (gr)
LANDB014B,BC1S4-bulked,LANDB014,B,Mex_15-Low,HiLo,CIMMYTMA-017852,20799,MORE128,TUXPEN,18.71666667,-99.36666667,952,,RS17-127xB73,RS17-251xB73,RS17-6611.2@,UL18A-505@,UNISEM_18B_1565@,RS19-3088,PV21-16,152,,,,
LANDB014C,BC1S4-bulked,LANDB014,C,Mex_15-Low,HiLo,CIMMYTMA-017852,20799,MORE128,TUXPEN,18.71666667,-99.36666667,952,,RS17-127xB73,RS17-251xB73,RS17-6611.3@,UL18A-506@,UNISEM_18B_1566@,RS19-3089,PV21-17,848,,,,
LANDB015A,BC1S4,LANDB015,A,Mex_16-High,HiLo,CIMMYTMA-021113,23459,CHIH474,CELAYA,28.53333333,-106.6333333,2141,,RS17-222xB73,RS17-222xB73,RS17-6612.1@,UNISEM_18B_1567@,UNISEM19A_RS-14(RS19-7014)@,PV21-1533,,,,,,
LANDB015B,BC1S4-bulked,LANDB015,B,Mex_16-High,HiLo,CIMMYTMA-021113,23459,CHIH474,CELAYA,28.53333333,-106.6333333,2141,,RS17-222xB73,RS17-222xB73,RS17-6612.2@,UL18A-508@,UNISEM_18B_1568@,RS19-3090,PV21-18,812,CLY21-B7-53,159,,
LANDB015C,BC1S4,LANDB015,C,Mex_16-High,HiLo,CIMMYTMA-021113,23459,CHIH474,CELAYA,28.53333333,-106.6333333,2141,,RS17-222xB73,RS17-222xB73,UL18A-509@,UNISEM_18B_1569@,PV21-1537,CLY21-429@,,,,,,
LANDB016A,BC1S4-bulked,LANDB016,A,Mex_16-Low,HiLo,CIMMYTMA-007344,13276,SONO169,ONAVEN,29.43544,-110.367266,390,,RS17-122xB73,,RS17-6613.1@,UL18A-510@,UNISEM_18B_1570@,RS19-3091,PV21-19,300,,,,
LANDB016B,BC1S4-bulked,LANDB016,B,Mex_16-Low,HiLo,CIMMYTMA-007344,13276,SONO169,ONAVEN,29.43544,-110.367266,390,,RS17-122xB73,,RS17-6613.2@,UL18A-511@,UNISEM_18B_1571@,RS19-3092,PV21-20,426,,,,
LANDB016C,BC1S4,LANDB016,C,Mex_16-Low,HiLo,CIMMYTMA-007344,13276,SONO169,ONAVEN,29.43544,-110.367266,390,,RS17-122xB73,,RS17-6613.3@,UL18A-512@,UNISEM_18B_1572@,PV21-1456,,,,,,
LANDB017A,BC1S4-bulked,LANDB017,A,Mex_17-High,HiLo,CIMMYTMA-013920,17759,OAXA69,,17.45,-97.21666667,2083,,RS17-46xB73,RS17-264xB73,RS17-6614.1@,UL18A-513@,UNISEM_18B_1573@,RS19-3094,PV21-21,391,,,,
LANDB017B,BC1S4-bulked,LANDB017,B,Mex_17-High,HiLo,CIMMYTMA-013920,17759,OAXA69,,17.45,-97.21666667,2083,,RS17-46xB73,RS17-264xB73,RS17-6614.2@,UL18A-514@,UNISEM_18B_1574@,RS19-3095,PV21-22,44,,,,
LANDB017C,BC1S4-bulked,LANDB017,C,Mex_17-High,HiLo,CIMMYTMA-013920,17759,OAXA69,,17.45,-97.21666667,2083,,RS17-46xB73,RS17-264xB73,RS17-6614.3@,UL18A-515@,UNISEM_18B_1575@,RS19-3096,PV21-23,415,CLY21-B7-58,203,,
LANDB018A,BC1S4,LANDB018,A,Mex_17-Low,HiLo,CIMMYTMA-017793,20755,BELI9,,17.08333333,-89.13333333,97,,RS17-47xB73,RS17-265xB73,RS17-6615.1@,UNISEM_18B_1576@,UNISEM19A_RS-16(RS19-7016)@,PV21-1541,,,,,,
LANDB018B,BC1S4-bulked,LANDB018,B,Mex_17-Low,HiLo,CIMMYTMA-017793,20755,BELI9,,17.08333333,-89.13333333,97,,RS17-47xB73,RS17-265xB73,RS17-6615.2@,UL18A-517@,UNISEM_18B_1577@,RS19-3097,PV21-24,400,CLY21-B7-59,150,,
LANDB018C,BC1S4-bulked,LANDB018,C,Mex_17-Low,HiLo,CIMMYTMA-017793,20755,BELI9,,17.08333333,-89.13333333,97,,RS17-47xB73,RS17-265xB73,RS17-6615.3@,UL18A-518@,UNISEM_18B_1578@,RS19-3098,PV21-25,979,,,,
LANDB019A,BC1S4,LANDB019,A,Mex_18-High,HiLo,CIMMYTMA-021313,3638,JALI576,CELAYA,21.01666667,-102.1666667,2055,,RS17-219xB73,RS17-219xB73,RS17-6616.1@,UL18A-519@,UNISEM_18B_1579@,RS19-3099,,,,,,
LANDB019B,BC1S4,LANDB019,B,Mex_18-High,HiLo,CIMMYTMA-021313,3638,JALI576,CELAYA,21.01666667,-102.1666667,2055,,RS17-219xB73,RS17-219xB73,RS17-6616.2@,UNISEM_18B_1580@,PV21-1545,CLY21-433@,,,,,,
LANDB019C,BC1S4,LANDB019,C,Mex_18-High,HiLo,CIMMYTMA-021313,3638,JALI576,CELAYA,21.01666667,-102.1666667,2055,,RS17-219xB73,RS17-219xB73,UNISEM_18B_1581@,UNISEM19A_RS-18(RS19-7018)@,UNISEM19B-12627,RS20-3361,,,,,,
LANDB020A,BC1S4,LANDB020,A,Mex_18-Low,HiLo,CIMMYTMA-007076,13097,NAYA222,BOFO,21.71666667,-104.8833333,177,,RS17-92xB73,RS17-218xB73,RS17-6617.1@,UNISEM_18B_1582@,UNISEM19B-12628,PV21-1632,,,,,,
LANDB020B,BC1S4,LANDB020,B,Mex_18-Low,HiLo,CIMMYTMA-007076,13097,NAYA222,BOFO,21.71666667,-104.8833333,177,,RS17-92xB73,RS17-218xB73,RS17-6617.2@,UNISEM_18B_1583@,UNISEM19B-12629,PV21-1633,,,,,,
LANDB020C,BC1S4-bulked,LANDB020,C,Mex_18-Low,HiLo,CIMMYTMA-007076,13097,NAYA222,BOFO,21.71666667,-104.8833333,177,,RS17-92xB73,RS17-218xB73,RS17-6617.3@,UL18A-524@,UNISEM_18B_1584@,RS19-3100,PV21-26,785,CLY21-B7-61,243,,
LANDB021A,BC1S4,LANDB021,A,Mex_19-High,HiLo,CIMMYTMA-016642,20134,JALI348,CELAYA,21.88333333,-101.5833333,2213,,RS17-26xB73,RS17-185xB73,RS17-6618.1@,UL18A-525@,UNISEM_18B_1585@,PV21-1457,,,,,,
LANDB021B,BC1S4,LANDB021,B,Mex_19-High,HiLo,CIMMYTMA-016642,20134,JALI348,CELAYA,21.88333333,-101.5833333,2213,,RS17-26xB73,RS17-185xB73,RS17-6618.2@,UL18A-526@,UNISEM_18B_1586@,PV21-1458,,,,,,
LANDB021C,BC1S4,LANDB021,C,Mex_19-High,HiLo,CIMMYTMA-016642,20134,JALI348,CELAYA,21.88333333,-101.5833333,2213,,RS17-26xB73,RS17-185xB73,RS17-6618.3@,UNISEM_18B_1587@,UNISEM19B-12630,PV21-1634,,,,,,
LANDB022A,BC1S4-bulked,LANDB022,A,Mex_19-Low,HiLo,CIMMYTMA-023971,25890,NAYA223,BOFO,22.274119,-104.469957,648,,RS17-184xB73,RS17-184xB73,RS17-6619.1@,UL18A-528@,UNISEM_18B_1588@,RS19-3103,PV21-27,275,,,,
LANDB022B,BC1S4-bulked,LANDB022,B,Mex_19-Low,HiLo,CIMMYTMA-023971,25890,NAYA223,BOFO,22.274119,-104.469957,648,,RS17-184xB73,RS17-184xB73,RS17-6619.2@,UL18A-529@,UNISEM_18B_1589@,RS19-3104,PV21-28,587,CLY21-B7-63,222,,
LANDB022C,BC1S4,LANDB022,C,Mex_19-Low,HiLo,CIMMYTMA-023971,25890,NAYA223,BOFO,22.274119,-104.469957,648,,RS17-184xB73,RS17-184xB73,UL18A-530@,UNISEM_18B_1590@,UNISEM19A_RS-22(RS19-7022)@,PV21-1572,,,,,,
LANDB023A,BC1S4-bulked,LANDB023,A,Mex_20-High,HiLo,CIMMYTMA-021154,23500,CHIH515,CONNOR,28.55,-107.5,2046,,RS17-129xB73,,RS17-6620.1@,UL18A-531@,UNISEM_18B_1591@,PV21-1459,CLY21B7-265,170,,,,
LANDB023B,BC1S4,LANDB023,B,Mex_20-High,HiLo,CIMMYTMA-021154,23500,CHIH515,CONNOR,28.55,-107.5,2046,,RS17-129xB73,,RS17-6620.2@,UNISEM_18B_1592@,PV21-1575,CLY21-443@,,,,,,
LANDB023C,BC1S4-bulked,LANDB023,C,Mex_20-High,HiLo,CIMMYTMA-021154,23500,CHIH515,CONNOR,28.55,-107.5,2046,,RS17-129xB73,,UL18A-533@,UNISEM_18B_1593@,UNISEM19B-12631,RS20-3365.1@,PV21-29,258,,,,
LANDB024A,BC1S4-bulked,LANDB024,A,Mex_20-Low,HiLo,CIMMYTMA-000449,189,COAH64,TUXPEN,28.26979,-100.726374,356,,RS17-128xB73,,RS17-6621.1@,UL18A-534@,UNISEM_18B_1594@,RS19-3106,PV21-30,131,,,,
LANDB024B,BC1S4-bulked,LANDB024,B,Mex_20-Low,HiLo,CIMMYTMA-000449,189,COAH64,TUXPEN,28.26979,-100.726374,356,,RS17-128xB73,,RS17-6621.2@,UL18A-535@,UNISEM_18B_1595@,RS19-3107,PV21-31,292,,,,
LANDB024C,BC1S4-bulked,LANDB024,C,Mex_20-Low,HiLo,CIMMYTMA-000449,189,COAH64,TUXPEN,28.26979,-100.726374,356,,RS17-128xB73,,RS17-6621.3@,UL18A-536@,UNISEM_18B_1596@,RS19-3108,PV21-32,289,CLY21-B7-67,97,,
LANDB025A,BC1S4-bulked,LANDB025,A,Mex_22-High,HiLo,CIMMYTMA-013771,17632,GUAN333,,21.48333333,-101.2166667,2091,,RS17-37xB73,,RS17-6622.1@,UNISEM_18B_1597@,UNISEM19B-12632,RS20-3366.1@,PV21-33,514,CLY21-B7-70,109,,
LANDB025B,BC1S4-bulked,LANDB025,B,Mex_22-High,HiLo,CIMMYTMA-013771,17632,GUAN333,,21.48333333,-101.2166667,2091,,RS17-37xB73,,RS17-6622.2@,UNISEM_18B_1598@,UNISEM19A_RS-26(RS19-7026)@,PV21-1582,CLY21B7-333,329,,,,
LANDB025C,BC1S4-bulked,LANDB025,C,Mex_22-High,HiLo,CIMMYTMA-013771,17632,GUAN333,,21.48333333,-101.2166667,2091,,RS17-37xB73,,RS17-6622.3@,UL18A-539@,UNISEM_18B_1599@,RS19-3109,PV21-34,317,,,,
LANDB026A,BC1S4-bulked,LANDB026,A,Mex_22-Low,HiLo,CIMMYTMA-003266,10357,VERA201,TEPECI,21.1,-97.75,88,,RS17-36xB73,,RS17-6623.1@,UL18A-540@,UNISEM_18B_1600@,RS19-3110,PV21-35,442,,,,
LANDB026B,BC1S4-bulked,LANDB026,B,Mex_22-Low,HiLo,CIMMYTMA-003266,10357,VERA201,TEPECI,21.1,-97.75,88,,RS17-36xB73,,UL18A-541@,UNISEM_18B_1601@,UNISEM19B-12633,RS20-3367.1@,PV21-36,564,CLY21-B7-73,140,,
LANDB026C,BC1S4-bulked,LANDB026,C,Mex_22-Low,HiLo,CIMMYTMA-003266,10357,VERA201,TEPECI,21.1,-97.75,88,,RS17-36xB73,,UL18A-542@,UNISEM_18B_1602@,UNISEM19B-12634,RS20-3368.1@,PV21-37,232,,,,
LANDB027A,BC1S4-bulked,LANDB027,A,Mex_23-High,HiLo,CIMMYTMA-021332,23654,JALI637,CELAYA,20.81666667,-102.6666667,2017,,RS17-212xB73,RS17-212xB73,RS17-6624.1@,UL18A-543@,UNISEM_18B_1603@,RS19-3111,PV21-38,326,,,,
LANDB027B,BC1S4-bulked,LANDB027,B,Mex_23-High,HiLo,CIMMYTMA-021332,23654,JALI637,CELAYA,20.81666667,-102.6666667,2017,,RS17-212xB73,RS17-212xB73,RS17-6624.2@,UL18A-544@,UNISEM_18B_1604@,RS19-3112,PV21-39,196,,,,
LANDB027C,BC1S4-bulked,LANDB027,C,Mex_23-High,HiLo,CIMMYTMA-021332,23654,JALI637,CELAYA,20.81666667,-102.6666667,2017,,RS17-212xB73,RS17-212xB73,UL18A-545@,UNISEM_18B_1605@,RS19-3113,,PV21-40(S3 bulked),203,,,,
LANDB028A,BC1S4-bulked,LANDB028,A,Mex_23-Low,HiLo,CIMMYTMA-025845,27181,VERA272,TUXPEN,21.51666667,-98.38333333,42,,RS17-213xB73,RS17-213xB73,RS17-6625.1@,UL18A-546@,UNISEM_18B_1606@,RS19-3114,PV21-41,382,CLY21-B7-77,104,,
